License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
402-00573,D & D CONSULTING INC,KAYA CANNABIS,Medical Marijuana Store,1075 South Fox Street,Denver,80223,4/15/2027,2026-04-02 00:00:00,Stores,Medical
402-00323,D & D CONSULTING INC,KAYA CANNABIS,Medical Marijuana Store,"12018 West Jewell Avenue, Unit B & C",Lakewood,80228,6/26/2027,2026-04-02 00:00:00,Stores,Medical
402-00481,D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,Medical Marijuana Store,1755 Lincoln Avenue,Steamboat Springs,80487,2/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00444,DEAD FLOWERS MEDS LLC,,Medical Marijuana Store,855 Highway 105,Palmer Lake,80133,12/9/2026,2026-04-02 00:00:00,Stores,Medical
402-00857,DENCO LLC,,Medical Marijuana Store,3480 Park Avenue West  Unit B,Denver,80216,12/28/2026,2026-04-02 00:00:00,Stores,Medical
402-00870,DENCO LLC,,Medical Marijuana Store,5155 East 46th Avenue,Denver,80216,8/30/2027,2026-04-02 00:00:00,Stores,Medical
402-00938,DENCO LLC,,Medical Marijuana Store,922 East Kimble Drive,Pueblo West,81007,8/10/2027,2026-04-02 00:00:00,Stores,Medical
402-00738,DENVER COMPASSIONATE CAREGIVERS INC,ROCKY MOUNTAIN HIGH,Medical Marijuana Store,3360 South Wadsworth Boulevard,Lakewood,80227,2/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00998,DENVER PATIENTS GROUP LLC,LIVWELL,Medical Marijuana Store,2863 Larimer Street,Denver,80205,12/9/2026,2026-04-02 00:00:00,Stores,Medical
402-00498,DGS INC,THE KIND ROOM,Medical Marijuana Store,1881 South Broadway,Denver,80210,6/27/2027,2026-04-02 00:00:00,Stores,Medical
402-00545,DKC LLC,DENVER KUSH CLUB,Medical Marijuana Store,2615 Welton Street,Denver,80205,4/17/2027,2026-04-02 00:00:00,Stores,Medical
402-00699,DOPE APOTHEOSIS INC,POLICE AND THIEVES,Medical Marijuana Store,399 South Harrison Street,Denver,80209,3/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00861,DP RETAIL 100 LLC,GREEN DRAGON,Medical Marijuana Store,804 South College Avenue,Fort Collins,80524,8/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00486,DURANGO ORGANICS LLP,DO CORTEZ,Medical Marijuana Store,1013 East Main Street,Cortez,81321,3/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00532,DURANGO ORGANICS LLP,,Medical Marijuana Store,"72 Suttle Street, Unit F",Durango,81303,7/3/2027,2026-04-02 00:00:00,Stores,Medical
402-00993,EARTH SOLUTIONS INC,"CANNA CABINET, INC",Medical Marijuana Store,"2630 West Pueblo Boulevard, Suite A",Pueblo,81004,11/18/2026,2026-04-02 00:00:00,Stores,Medical
402-00971,EGOZI VENTURES LLC,,Medical Marijuana Store,2160 South Lipan Street,Denver,80223,9/22/2026,2026-04-02 00:00:00,Stores,Medical
402-01324,EXIT 243 LLC,DISPENSARY EXIT 243,Medical Marijuana Store,2235 East Idaho Springs Road,Idaho Springs,80452,4/14/2027,2026-04-02 00:00:00,Stores,Medical
402-00696,EZ NATURAL ALTERNATIVES LLC,COOKIES,Medical Marijuana Store,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,9/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00556,FLOWER POWER BOTANICALS LLC,,Medical Marijuana Store,1308 -1310 Duff Drive,Fort Collins,80524,7/5/2027,2026-04-02 00:00:00,Stores,Medical
402-01016,FOUNTAIN ORGANICS LLC,FOUNTAIN ORGANICS,Medical Marijuana Store,"5421 Rio Vista Drive, Suite 200",Colorado Springs,80917,4/3/2027,2026-04-02 00:00:00,Stores,Medical
402-00806,FOX STREET WELLNESS LLC,FOX CANNABIS,Medical Marijuana Store,4773 North Fox Street,Denver,80216,9/20/2026,2026-04-02 00:00:00,Stores,Medical
402-01706,FRYE STOP DISPENSARY LLC,BUD BARN DISPENSARY,Medical Marijuana Store,101 West Bridge Street Unit 1,Hotchkiss,81419,4/1/2027,2026-04-02 00:00:00,Stores,Medical
402-00088,FUTUREVISION LTD,MEDICINE MAN,Medical Marijuana Store,4750 North Nome Street,Denver,80239,11/21/2026,2026-04-02 00:00:00,Stores,Medical
402-00766,GALACTIC MEDS LLC,SPACE BUDS,Medical Marijuana Store,621 West Colorado Avenue,Colorado Springs,80905,4/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00848,GARCIA AND MAESTAS INC,LA CASA CANNABIS II,Medical Marijuana Store,5986 Produce Place,Alamosa,81101,7/15/2027,2026-04-02 00:00:00,Stores,Medical
402-01071,GARDEN OF THE BUDZ LLC,,Medical Marijuana Store,3178 West Colorado Avenue,Colorado Springs,80904,6/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00096,GAS AND GRASS LLC,LEMONADE,Medical Marijuana Store,"4500 North Washington Street, Unit B",Denver,80216,1/4/2027,2026-04-02 00:00:00,Stores,Medical
402-00773,GATSBY HOLDINGS LLC,BILLO,Medical Marijuana Store,3150 Ingles Lane,Steamboat Springs,80487,9/27/2026,2026-04-02 00:00:00,Stores,Medical
402-00140,GL INDUSTRIAL,GROW LIFE INC,Medical Marijuana Store,115 East Garden of the Gods Road,Colorado Springs,80907,5/21/2027,2026-04-02 00:00:00,Stores,Medical
402-00376,GM BROADWAY LLC,MECCA,Medical Marijuana Store,330 North Federal Boulevard,Denver,80219,6/24/2027,2026-04-02 00:00:00,Stores,Medical
402-00815,GM CO SPRINGS LLC,GOLDEN MEDS,Medical Marijuana Store,329 East Pikes Peak Avenue,Colorado Springs,80903,12/11/2026,2026-04-02 00:00:00,Stores,Medical
402-01174,GM HOLDINGS LTD LLC,TSUNAMI,Medical Marijuana Store,319 Bonfoy Avenue,Colorado Springs,80909,4/1/2027,2026-04-02 00:00:00,Stores,Medical
402-00251,GOLDEN ALTERNATIVE MEDICINE LLC,VERTS NEIGHBORHOOD DISPENSARY,Medical Marijuana Store,511 Orchard Street 2nd Floor,Golden,80401,4/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00800,GRANT PHARMS LLC,"GRANT PHARMS, MMC",Medical Marijuana Store,1591 East Cheyenne Mountain Boulevard,Colorado Springs,80906,11/15/2026,2026-04-02 00:00:00,Stores,Medical
402-01153,GRANT PHARMS LLC,GRANT PHARMS MMC,Medical Marijuana Store,320 Prairie Road,Colorado Springs,80909,1/29/2027,2026-04-02 00:00:00,Stores,Medical
402-00969,GRANT PHARMS LLC,ZAZA'S,Medical Marijuana Store,4344 Montebello Drive,Colorado Springs,80918,11/10/2026,2026-04-02 00:00:00,Stores,Medical
402-00087,GREEN CROSS LLC,GREEN CROSS OF CHERRY CREEK,Medical Marijuana Store,"3400 South Oneida Way, Suite 101",Denver,80224,3/8/2027,2026-04-02 00:00:00,Stores,Medical
402-01173,GREEN FARMS LLC,,Medical Marijuana Store,3629 Galley Road,Colorado Springs,80909,4/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00854,GREEN FIELDS LLC,GREENFIELDS,Medical Marijuana Store,1798 West Mississippi Avenue,Denver,80223,8/5/2027,2026-04-02 00:00:00,Stores,Medical
402-01080,GREEN GARDENS LLC,GREEN FIELDS,Medical Marijuana Store,2038 South Navajo Street,Denver,80223,5/24/2027,2026-04-02 00:00:00,Stores,Medical
402-00874,GREEN LIFE SOLUTIONS LLC,GREEN TREE,Medical Marijuana Store,10575 Melody Drive Suite 101,Northglenn,80234,11/5/2026,2026-04-02 00:00:00,Stores,Medical
402-01313,GREEN MEADOWS DISPENSARY LLC,GREEN MEADOWS DISPENSRY LLC,Medical Marijuana Store,"25 Stafford Lane, Unit 3",Delta,81416,7/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00490,GREEN MEADOWS DISPENSARY LLC,GREEN MEADOWS DISPENSARY LLC,Medical Marijuana Store,23360 South Highway 550,Montrose,81403,8/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00551,GREEN MEDICINE LLC,THE GREEN JOINT,Medical Marijuana Store,1030 Grand Avenue,Glenwood Springs,81601,9/25/2027,2026-04-02 00:00:00,Stores,Medical
402-01031,GREEN PHARM II LLC,GREEN PHARM,Medical Marijuana Store,"4335 North Academy Boulevard, Suite 100",Colorado Springs,80918,5/21/2027,2026-04-02 00:00:00,Stores,Medical
402-00690,GREEN SATIVA LLC,,Medical Marijuana Store,2426 South Federal Boulevard,Denver,80219,6/30/2027,2026-04-02 00:00:00,Stores,Medical
402-01122,GREEN SATIVA LLC,,Medical Marijuana Store,"8411 Pecos Street, Unit G & H",Federal Heights,80260,12/3/2026,2026-04-02 00:00:00,Stores,Medical
402-00859,GREEN TREE BERTHOUD LLC,GREEN TREE,Medical Marijuana Store,1090 North 2nd Street,Berthoud,80513,8/6/2027,2026-04-02 00:00:00,Stores,Medical
402-01722,GREEN TREE BOULDER LLC,GREEN TREE DISPENSARY,Medical Marijuana Store,3141 Walnut Street,Boulder,80301,9/19/2027,2026-04-02 00:00:00,Stores,Medical
402-00745,GREEN ZEBRA RETAIL LLC,LET'S BLAZE,Medical Marijuana Store,120 South Kalamath Street,Denver,80223,6/23/2027,2026-04-02 00:00:00,Stores,Medical
402-01085,GT RETAIL LLC,TREES,Medical Marijuana Store,12626 North 107 Street,Longmont,80504,8/26/2027,2026-04-02 00:00:00,Stores,Medical
402-01194,HAPPY WEED LLC,TROPICANNA BLISS,Medical Marijuana Store,3715 Drennan Road,Colorado Springs,80910,6/28/2027,2026-04-02 00:00:00,Stores,Medical
402-00313,HEALING HOUSE LAKEWOOD LLC,ASCEND CANNABIS CO.,Medical Marijuana Store,10712 West Alameda Avenue,Lakewood,80226,9/17/2026,2026-04-02 00:00:00,Stores,Medical
402-01162,HERBAL HEALING LLC,HERBAL HEALING,Medical Marijuana Store,"408 East Fillmore Street, Suite 110",Colorado Springs,80907,3/15/2027,2026-04-02 00:00:00,Stores,Medical
402-00008,HERBAL OUTFITTERS LLC,THE GREEN JOINT,Medical Marijuana Store,"2102 Airport Road, Suite A",Rifle,81650,6/11/2027,2026-04-02 00:00:00,Stores,Medical
402-00698,HERBAL WELLNESS LLC,HERBAL WELLNESS LLC,Medical Marijuana Store,"400 West South Boulder Road, Suite 2700",Lafayette,80026,11/28/2026,2026-04-02 00:00:00,Stores,Medical
402-00041,HG LTD,HIGHER GRADE,Medical Marijuana Store,3111 West 38th Avenue,Denver,80211,10/24/2026,2026-04-02 00:00:00,Stores,Medical
402-01193,HG LTD,HIGHER GRADE,Medical Marijuana Store,"3480 South Galena Street, Unit B-4",Denver,80231,5/26/2027,2026-04-02 00:00:00,Stores,Medical
402-00443,HIGH COLLECTIVE LLC,C.R.E.A.M,Medical Marijuana Store,1000 West Fillmore Street Suite 105,Colorado Springs,80907,9/14/2026,2026-04-02 00:00:00,Stores,Medical
402-00242,HIGH MOUNTAIN MEDZ LLC,LEVITY WELLNESS,Medical Marijuana Store,426 West Fillmore Street,Colorado Springs,80907,7/10/2027,2026-04-02 00:00:00,Stores,Medical
402-00166,HIGH POPEYE LLC,,Medical Marijuana Store,4095 North Jackson Street,Denver,80216,4/15/2027,2026-04-02 00:00:00,Stores,Medical
402-01656,HIGH STAKES LEAFERY LLC,,Medical Marijuana Store,324 Highway 67 #D,Cripple Creek,80813,11/27/2026,2026-04-02 00:00:00,Stores,Medical
402-00455,HOBBY FARMS LLC,ACA COLORADO,Medical Marijuana Store,1911 South Broadway,Denver,80210,12/18/2026,2026-04-02 00:00:00,Stores,Medical
402-00452,I & S LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Store,1086 West Littleton Boulevard,Littleton,80120,6/28/2027,2026-04-02 00:00:00,Stores,Medical
402-00933,IEROS LLC,LIFE FLOWER DISPENSARY,Medical Marijuana Store,3450 North Brighton Boulevard,Denver,80216,6/19/2027,2026-04-02 00:00:00,Stores,Medical
402-00613,IEROS LLC,LIFE FLOWER DISPENSARY,Medical Marijuana Store,4966 Leetsdale Drive,Glendale,80246,9/3/2027,2026-04-02 00:00:00,Stores,Medical
402-00893,J&R PARTNERS LLC,NATIVE ROOTS VAIL,Medical Marijuana Store,"41290 Highway 6, Unit B2",Avon,81620,12/12/2026,2026-04-02 00:00:00,Stores,Medical
402-00374,JET BLACK ENTERPRISES LLC,LEIFFA,Medical Marijuana Store,6900 West Colfax Avenue,Lakewood,80214,2/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00011,JGB VENTURES LLC,DANK,Medical Marijuana Store,"3835 North Elm Street, Unit C",Denver,80207,5/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00157,JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,Medical Marijuana Store,1505 Elm Avenue,Canon City,81212,11/25/2026,2026-04-02 00:00:00,Stores,Medical
402-01075,JOINT SUCCESS LLC,INDICO MED,Medical Marijuana Store,2222 West Colorado Avenue,Colorado Springs,80904,8/22/2026,2026-04-02 00:00:00,Stores,Medical
402-00330,JOIS LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Store,3702 West Quincy Avenue,Denver,80236,6/28/2027,2026-04-02 00:00:00,Stores,Medical
402-00942,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,Medical Marijuana Store,"4550 South Kipling Street, Unit 4",Denver,80127,5/29/2027,2026-04-02 00:00:00,Stores,Medical
402-01169,KANOPYA HOLDINGS LLC,KANOPYA SPRINGS,Medical Marijuana Store,2545 - 2547 Platte Place,Colorado Springs,80909,3/15/2027,2026-04-02 00:00:00,Stores,Medical
402-00693,KARMACEUTICALS LLC,KARMACEUTICALS,Medical Marijuana Store,4 South Santa Fe Drive,Denver,80223,8/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00453,KAZIMER LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Store,6666 East 44th Avenue,Denver,80216,10/15/2026,2026-04-02 00:00:00,Stores,Medical
402-00841,KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO,Medical Marijuana Store,"6617 South College Avenue, Building A",Fort Collins,80525,6/26/2027,2026-04-02 00:00:00,Stores,Medical
402-00925,KIND LOVE LLC,,Medical Marijuana Store,4380 East Alameda Avenue,Glendale,80246,3/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00243,KIND LOVE MJH LLC,KIND LOVE EXPRESS,Medical Marijuana Store,3899 North Quentin Street,Denver,80239,10/23/2026,2026-04-02 00:00:00,Stores,Medical
402-01187,LBW CONSULTING GROUP LLC,SEED & SMITH,Medical Marijuana Store,5070 North Oakland Street,Denver,80239,5/18/2027,2026-04-02 00:00:00,Stores,Medical
402-00898,LGK LLC,STRAWBERRY FIELDS,Medical Marijuana Store,"3435 South Yosemite Street, Suite 200",Denver,80231,9/18/2027,2026-04-02 00:00:00,Stores,Medical
402-00240,LIGHTSHADE LABS LLC,LIGHTSHADE,Medical Marijuana Store,5885 East Evans Avenue,Denver,80222,2/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00405,LIGHTSHADE LABS LLC,LIGHTSHADE,Medical Marijuana Store,330 South Dayton Street,Denver,80247,5/22/2027,2026-04-02 00:00:00,Stores,Medical
402-01255,LIGHTSHADE LABS LLC,LIGHTSHADE,Medical Marijuana Store,9364 Federal Boulevard,Federal Heights,80260,7/10/2027,2026-04-02 00:00:00,Stores,Medical
402-00903,LIVWELL I LLC,LIVWELL,Medical Marijuana Store,"2647 8th Avenue, Unit B",Garden City,80631,9/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00666,LIVWELL III LLC,LIVWELL,Medical Marijuana Store,1941 West Evans Avenue,Denver,80223,9/13/2027,2026-04-02 00:00:00,Stores,Medical
402-00837,LIVWELL VII LLC,LIVWELL,Medical Marijuana Store,900 North College Avenue,Fort Collins,80524,6/26/2027,2026-04-02 00:00:00,Stores,Medical
402-01000,LIVWELL X LLC,LIVWELL,Medical Marijuana Store,1015 North 2nd Street,Berthoud,80513,7/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00940,LIVWELL XVI LLC,LIVWELL,Medical Marijuana Store,"3600 South Wadsworth Boulevard, Units C D & E,",Lakewood,80235,4/19/2027,2026-04-02 00:00:00,Stores,Medical
402-00866,LONG GONE FARMS LLC,STEEL CITY MEDS MEDICAL DISPENSARY,Medical Marijuana Store,"74 North McCulloch Boulevard, Suite 120",Pueblo West,81007,7/24/2027,2026-04-02 00:00:00,Stores,Medical
402-01725,MAGGIE'S FARM LLC,MAGGIE'S FARM,Medical Marijuana Store,141 Manitou Avenue,Manitou Springs,80829,5/22/2027,2026-04-02 00:00:00,Stores,Medical
402-01039,MAGIC CITY FARMS 2 LLC,MAGIC CITY CANNABIS,Medical Marijuana Store,3819 North Quentin Street,Denver,80239,6/3/2027,2026-04-02 00:00:00,Stores,Medical
402-00883,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Medical Marijuana Store,"1750 30th Street, Unit 84B",Boulder,80301,10/17/2026,2026-04-02 00:00:00,Stores,Medical
402-01168,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Medical Marijuana Store,2489 South Academy Boulevard,Colorado Springs,80916,3/28/2027,2026-04-02 00:00:00,Stores,Medical
402-00687,MAKENA UNLIMITED LLC,,Medical Marijuana Store,2568 South Broadway,Denver,80210,6/27/2027,2026-04-02 00:00:00,Stores,Medical
402-00069,MARI MEDS INC,MARI MEDS,Medical Marijuana Store,222 East Moreno Avenue,Colorado Springs,80903,8/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00385,MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,Medical Marijuana Store,4800 Lamar Street,Wheat Ridge,80033,12/14/2026,2026-04-02 00:00:00,Stores,Medical
402-00829,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,Medical Marijuana Store,6359 East Evans Avenue,Denver,80222,2/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00304,MILE HIGH DISPENSARY LLC,MILE HIGH DISPENSARY,Medical Marijuana Store,1350 South Sheridan Boulevard Unit 1 & 2,Denver,80232,3/29/2027,2026-04-02 00:00:00,Stores,Medical
402-00501,MILE HIGH MEDICAL CANNABIS LLC,LIT,Medical Marijuana Store,1630 North Federal Boulevard,Denver,80204,8/23/2027,2026-04-02 00:00:00,Stores,Medical
402-00645,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,Medical Marijuana Store,2106 East Boulder Street,Colorado Springs,80909,4/11/2027,2026-04-02 00:00:00,Stores,Medical
402-00935,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,Medical Marijuana Store,523 South Tejon Street,Colorado Springs,80903,4/6/2027,2026-04-02 00:00:00,Stores,Medical
402-01072,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,Medical Marijuana Store,2354 East Platte Avenue,Colorado Springs,80909,5/28/2027,2026-04-02 00:00:00,Stores,Medical
402-01023,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,Medical Marijuana Store,6755 North Academy Boulevard,Colorado Springs,80918,5/28/2027,2026-04-02 00:00:00,Stores,Medical
402-01552,MTB CO LLC,LAKESHORE CANNABIS,Medical Marijuana Store,2517 North Sheridan Boulevard,Edgewater,80214,5/22/2027,2026-04-02 00:00:00,Stores,Medical
402-01300,N&G ENTERPRISES LLC,COOKIES COMMERCE CITY,Medical Marijuana Store,5385 Quebec Street,Commerce City,80022,8/24/2027,2026-04-02 00:00:00,Stores,Medical
402-00247,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Store,1420 Harrison Road,Colorado Springs,80905,5/22/2027,2026-04-02 00:00:00,Stores,Medical
402-00292,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Store,318 South 8th Street,Colorado Springs,80905,7/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00947,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Store,975 West Fillmore Street,Colorado Springs,80907,7/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00868,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Store,2103 East Platte Avenue,Colorado Springs,80909,9/30/2026,2026-04-02 00:00:00,Stores,Medical
402-01243,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Medical Marijuana Store,286 South Purcell Boulevard,Pueblo West,81007,4/27/2027,2026-04-02 00:00:00,Stores,Medical
402-00887,NATURAL ALTERNATIVES FOR HEALTH CORP,,Medical Marijuana Store,6712 South College Avenue Unit 5,Fort Collins,80525,11/6/2026,2026-04-02 00:00:00,Stores,Medical
402-00945,NATURE MED INC,KIND-MEDS,Medical Marijuana Store,260 North Santa Fe Drive,Denver,80223,5/20/2027,2026-04-02 00:00:00,Stores,Medical
402-00062,NATURES HERBS & WELLNESS CENTER,NATURE'S HERBS & WELLNESS CENTER,Medical Marijuana Store,540 27th Street,Garden City,80631,7/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00424,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURE'S KISS,Medical Marijuana Store,4332 South Broadway,Englewood,80113,5/24/2027,2026-04-02 00:00:00,Stores,Medical
402-00811,NS BRECK LIMITED,NORTHERN STANDARD,Medical Marijuana Store,"1795 Airport Road, Unit A2,",Breckenridge,80424,1/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00891,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,Medical Marijuana Store,2777 South Colorado Boulevard,Denver,80222,2/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00389,NUVUE PHARMA LLC,,Medical Marijuana Store,2304 East Platte Avenue,Colorado Springs,80909,2/7/2027,2026-04-02 00:00:00,Stores,Medical
402-00399,NUVUE PHARMA LLC,,Medical Marijuana Store,"1842 South Parker Road, Unit 18",Denver,80231,12/24/2026,2026-04-02 00:00:00,Stores,Medical
402-01062,NUVUE PHARMA LLC,,Medical Marijuana Store,4740 Dillon Drive,Pueblo,81008,5/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00844,ORGANIC ALTERNATIVES INC,ORGANIC ALTERNATIVES,Medical Marijuana Store,346 East Mountain Avenue,Fort Collins,80524,7/3/2027,2026-04-02 00:00:00,Stores,Medical
402-00579,P & C EXPRESS LLC,ROCKY MOUNTAIN HIGH,Medical Marijuana Store,305 Jody Court,Montrose,81401,4/9/2027,2026-04-02 00:00:00,Stores,Medical
402-00691,PERSONALIZED ORGANIC TREATMENTS LLC,CANNA BOTICA,Medical Marijuana Store,"219 North Vallejo Street, Unit 2",Denver,80223,6/5/2027,2026-04-02 00:00:00,Stores,Medical
402-00633,PHYSICIAN PREFERRED PRODUCTS LLC,DOC'S APOTHECARY,Medical Marijuana Store,"2100 East 112th Avenue, Unit 5",Northglenn,80233,11/28/2026,2026-04-02 00:00:00,Stores,Medical
402-00288,PI ARAPAHOE LLC,LOVA ARAPAHOE,Medical Marijuana Store,2042 Arapahoe Street,Denver,80205,8/23/2027,2026-04-02 00:00:00,Stores,Medical
402-01335,PI DURANGO LLC,LOVA DURANGO,Medical Marijuana Store,"1135 South Camino Del Rio Drive, Unit 220",Durango,81303,7/12/2027,2026-04-02 00:00:00,Stores,Medical
402-01144,PI HOLDINGS INC,THE CHRONIC BOUTIQUE,Medical Marijuana Store,325 East Pikes Peak Avenue,Colorado Springs,80902,4/28/2027,2026-04-02 00:00:00,Stores,Medical
402-00286,PI NORTH SHERIDAN LLC,LOVA SHERIDAN,Medical Marijuana Store,446 North Sheridan Boulevard,Denver,80226,4/6/2027,2026-04-02 00:00:00,Stores,Medical
402-01304,PI WILLITS LLC,LOVA BASALT,Medical Marijuana Store,701 East Valley Road Unit 102,Basalt,81621,12/27/2026,2026-04-02 00:00:00,Stores,Medical
402-00260,PIONEER INTERESTS SHERIDAN LLC,LOVA EDGEWATER,Medical Marijuana Store,"2045 Sheridan Boulevard, Unit B",Edgewater,80214,1/6/2027,2026-04-02 00:00:00,Stores,Medical
402-00655,PLANET SPACE LLC,GANJA GOURMET,Medical Marijuana Store,1810 South Broadway,Denver,80210,2/7/2027,2026-04-02 00:00:00,Stores,Medical
402-00352,PND LLC,A CUT ABOVE,Medical Marijuana Store,1150 East Fillmore Street,Colorado Springs,80907,8/21/2026,2026-04-02 00:00:00,Stores,Medical
402-00059,PRVT LBL LLC,PRVT LBL,Medical Marijuana Store,2490 West 2nd Avenue,Denver,80223,12/13/2026,2026-04-02 00:00:00,Stores,Medical
402-00597,PURE MEDICAL LLC,PURE,Medical Marijuana Store,1905 North Academy Boulevard,Colorado Springs,80904,11/13/2026,2026-04-02 00:00:00,Stores,Medical
402-00347,PURE MEDICAL LLC,PURE,Medical Marijuana Store,"207 West Rockrimmon Boulevard, Unit C",Colorado Springs,80919,9/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00346,PURE MEDICAL LLC,PURE,Medical Marijuana Store,8025 North Academy Boulevard,Colorado Springs,80920,9/12/2027,2026-04-02 00:00:00,Stores,Medical
402-00403,RD INDUSTRIES II LLC,HOUSE OF DANKNESS,Medical Marijuana Store,10555 East 45th Avenue,Denver,80239,6/17/2027,2026-04-02 00:00:00,Stores,Medical
402-00793,RINO SUPPLY CO INC,RINO SUPPLY COMPANY,Medical Marijuana Store,3100 Blake Street,Denver,80205,8/5/2027,2026-04-02 00:00:00,Stores,Medical
402-01084,RJJ ACADEMY LLC,NATIVE ROOTS ACADEMY,Medical Marijuana Store,1003 North Academy Boulevard,Colorado Springs,80909,7/3/2027,2026-04-02 00:00:00,Stores,Medical
402-01042,RJJ COLORADO SPRINGS LLC,NATIVE ROOTS COLORADO SPRINGS,Medical Marijuana Store,3660 Austin Bluffs Parkway,Colorado Springs,80918,5/21/2027,2026-04-02 00:00:00,Stores,Medical
402-00972,RJJ EDGEWATER LLC,NATIVE ROOTS EDGEWATER,Medical Marijuana Store,5610 West 20th Avenue,Edgewater,80214,10/24/2027,2026-04-02 00:00:00,Stores,Medical
402-00905,RJJ FRISCO LLC,NATIVE ROOTS FRISCO,Medical Marijuana Store,861 North Summit Boulevard,Frisco,80443,1/6/2027,2026-04-02 00:00:00,Stores,Medical
402-01563,RJJ GRAND JUNCTION LLC,NATIVE ROOTS GRAND JUNCTION,Medical Marijuana Store,683 Horizon Drive Unit 110,Grand Junction,81506,6/23/2027,2026-04-02 00:00:00,Stores,Medical
402-00637,RJJ HIGHLANDS LLC,NATIVE ROOTS HIGHLANDS,Medical Marijuana Store,2209 West 32nd Avenue,Denver,80211,5/28/2027,2026-04-02 00:00:00,Stores,Medical
402-00961,RJJ LONGMONT LLC,NATIVE ROOTS LONGMONT,Medical Marijuana Store,19 South Sunset Street,Longmont,80501,10/10/2027,2026-04-02 00:00:00,Stores,Medical
402-01070,RJJ SANTA FE LLC,NATIVE ROOTS SANTA FE,Medical Marijuana Store,"2645 South Santa Fe Drive, Units D & E",Denver,80223,8/17/2027,2026-04-02 00:00:00,Stores,Medical
402-00977,RJJ SHERIDAN LLC,NATIVE ROOTS LITTLETON,Medical Marijuana Store,7870 West Quincy Avenue,Denver,80123,10/10/2027,2026-04-02 00:00:00,Stores,Medical
402-01140,RJJ TEJON LLC,NATIVE ROOTS TEJON,Medical Marijuana Store,1433 South Tejon Street,Colorado Springs,80905,1/7/2027,2026-04-02 00:00:00,Stores,Medical
402-00417,RJJ TOWER LLC,NATIVE ROOTS DENVER AIRPORT,Medical Marijuana Store,7050 North Tower Road,Denver,80249,3/5/2027,2026-04-02 00:00:00,Stores,Medical
402-01083,RJJ UINTAH LLC,NATIVE ROOTS UINTAH,Medical Marijuana Store,1705 West Uintah Street,Colorado Springs,80904,7/3/2027,2026-04-02 00:00:00,Stores,Medical
